"Timestamp","1. Consent I confirm that I am 18 years or older, currently enrolled or graduated in a university or tertiary institution in New Zealand, and I voluntarily consent to participate in this survey.  ","Age group:  ","Gender:  ","Type of Institution:  ","Programme of study:","Year of study:","I understand what phishing is. "," I can recognise a phishing email or message when I see one.  ","I know what two-factor authentication (2FA) is and why it is used.  ","I understand what malware is and how it functions.  ","I am familiar with what a Virtual Private Network (VPN) does.  ","I know best practices for creating strong and secure passwords.  ","I understand the risks of using public Wi-Fi without additional protections.  ","I use a unique password for each of my important online accounts.  ","I regularly update the software and applications on my devices.  ","I enable two-factor authentication (2FA) on accounts whenever possible.  ","I avoid clicking links or opening attachments from unknown or suspicious emails.  ","I review app permissions and only allow access to what is necessary.  ","I back up important files regularly to a secure location.  ","I use a VPN or other protections when accessing public Wi-Fi for sensitive tasks.  ","I feel confident in my ability to detect online scams and phishing attempts.  ","I am concerned about the privacy and security of my personal information online.  ","I believe cybersecurity knowledge is important for my academic and professional life.  ","I believe my current online practices are sufficient to protect me from most cyber threats.  ","I would attend a workshop on practical cybersecurity skills if my institution offered one.  ","I have received formal cybersecurity training (e.g., course, workshop, or module) during my studies.  ","My institution provides adequate information on how to stay safe online.  ","I prefer to learn about cybersecurity through:  "
"2025/10/13 11:32:02 PM GMT+13","Yes","27-35","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","4","5","3","3","5","4","4","4","4","4","4","4","2","4","4","5","4","4","No","3","In-person workshops"
"2025/10/14 11:31:43 AM GMT+13","Yes","24-26","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","5","5","5","4","5","3","3","4","3","5","5","3","4","5","5","5","2","5","Yes;No","2","In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns"
"2025/10/14 2:12:00 PM GMT+13","Yes","35 or Over","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","4","3","4","4","4","4","4","3","4","4","5","4","4","4","3","4","4","3","4","Yes","3","Awareness campaigns"
"2025/10/14 2:12:09 PM GMT+13","Yes","27-35","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","5","4","4","4","4","5","5","1","5","4","1","1","3","5","5","5","5","3","5","Yes","4","Awareness campaigns"
"2025/10/14 2:29:17 PM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","1","5","5","5","5","5","5","5","5","5","5","5","4","4","1","4","5","5","4","4","Yes","4","Online self-paced tutorials"
"2025/10/14 2:34:31 PM GMT+13","Yes","24-26","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","5","4","5","3","3","4","4","2","3","5","5","4","4","4","3","4","4","4","3","Yes","2","Online self-paced tutorials;Short accredited courses"
"2025/10/14 2:35:57 PM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","5","5","5","5","5","5","5","5","5","5","5","4","3","5","5","5","4","4","Yes","4","In-person workshops;Online self-paced tutorials"
"2025/10/14 2:48:22 PM GMT+13","Yes","35 or Over","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","5","5","5","4","5","4","5","1","5","5","5","2","5","5","5","5","5","4","1","No","3","Online self-paced tutorials"
"2025/10/14 3:35:23 PM GMT+13","Yes","24-26","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","3","4","3","3","3","5","3","3","3","2","5","2","2","2","1","5","5","1","5","No","1","In-person workshops"
"2025/10/14 4:09:52 PM GMT+13","Yes","35 or Over","Male","University","Postgraduate Diploma/Master's","Graduate/Postgraduate","5","4","5","4","5","5","5","5","4","5","5","5","5","3","4","5","5","3","3","No","3","In-person workshops"
"2025/10/14 7:38:47 PM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","4","3","2","2","5","4","4","2","2","2","4","4","3","1","4","3","4","4","2","No","2","Online self-paced tutorials"
"2025/10/14 7:42:55 PM GMT+13","Yes","35 or Over","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","4","5","3","4","4","4","4","3","4","4","3","3","3","4","4","4","3","3","Yes","4","In-person workshops"
"2025/10/14 7:43:28 PM GMT+13","Yes","27-35","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","3","3","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","3","No","3","Online self-paced tutorials"
"2025/10/14 8:19:46 PM GMT+13","Yes","35 or Over","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","4","4","5","3","4","4","4","4","3","5","5","4","4","2","3","4","5","3","5","No","2","In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns"
"2025/10/14 8:30:11 PM GMT+13","Yes","35 or Over","Female","Polytechnic (Institute of Technology)/Tertiary","Bachelor's Degree","2","3","2","5","4","5","5","5","3","2","3","5","4","2","2","3","5","4","3","1","No","3","Online self-paced tutorials;Short accredited courses;Awareness campaigns"
"2025/10/14 8:39:49 PM GMT+13","Yes","27-35","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","3","3","2","3","4","4","3","4","3","3","3","4","4","3","3","3","4","3","4","No","5","In-person workshops"
"2025/10/14 8:44:06 PM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","3","5","5","2","5","5","5","5","2","3","4","2","2","4","5","5","5","5","No","3","In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns"
"2025/10/14 9:36:25 PM GMT+13","Yes","24-26","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","5","5","5","4","5","4","4","4","4","4","3","3","3","4","5","5","4","5","Yes","3","In-person workshops;Online self-paced tutorials;Awareness campaigns"
"2025/10/14 9:59:18 PM GMT+13","Yes","24-26","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","1","4","3","4","4","4","4","5","3","4","5","4","4","3","4","4","4","3","4","3","No","3","In-person workshops;Short accredited courses"
"2025/10/14 10:22:26 PM GMT+13","Yes","27-35","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","4","5","3","3","5","5","5","3","5","5","4","1","3","4","4","4","4","4","Yes","4","Online self-paced tutorials;Awareness campaigns"
"2025/10/15 8:08:31 AM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","5","5","5","4","5","5","5","5","5","5","5","5","5","1","5","5","5","5","5","Yes","1","Online self-paced tutorials"
"2025/10/15 12:11:18 PM GMT+13","Yes","27-35","Male","University","Bachelor's Degree","3","5","5","5","5","5","5","5","3","5","5","5","5","5","3","3","5","5","5","5","No","4","In-person workshops"
"2025/10/15 11:52:09 PM GMT+13","Yes","35 or Over","Female","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","3","4","4","3","3","4","4","2","5","4","4","4","4","3","3","4","4","4","3","No","3","Online self-paced tutorials"
"2025/10/16 7:32:22 AM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","5","4","4","3","3","4","5","4","5","2","4","4","4","3","4","5","5","4","3","No","2","In-person workshops"
"2025/10/16 7:51:24 AM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","Graduate/Postgraduate","5","4","3","2","3","4","5","4","5","2","3","4","4","3","4","5","5","4","5","No","1","In-person workshops"
"2025/10/16 9:14:13 AM GMT+13","Yes","35 or Over","Male","Polytechnic (Institute of Technology)/Tertiary","Postgraduate Diploma/Master's","2","5","5","5","5","5","5","5","4","5","4","5","5","4","3","5","4","5","5","5","No","5","Short accredited courses"
"2025/10/18 2:32:41 PM GMT+13","Yes","24-26","Prefer not to say","Polytechnic (Institute of Technology)/Tertiary","Bachelor's Degree","2","4","3","4","3","4","4","4","3","5","5","5","5","4","2","2","4","5","3","5","No","3","In-person workshops;Short accredited courses;Awareness campaigns"
